crew_id,avg,sd,member_count,percent_black,percent_white,percent_female,percent_male
129,0.25459770114942526,0.03007235736080715,11,0,81.8181818181818,9.09090909090909,81.8181818181818
840,0.774891774891775,0.9244426316811141,12,25,66.6666666666667,8.33333333333333,83.3333333333333
149,0.5704147465437788,0.2943248111155285,14,28.5714285714286,57.1428571428571,14.2857142857143,85.7142857142857
985,0.41871921182266014,0.06949131024465956,14,7.14285714285714,64.2857142857143,21.4285714285714,78.5714285714286
241,1.755952380952381,1.4057956245018266,18,5.55555555555556,66.6666666666667,5.55555555555556,94.4444444444444
1134,1.6440092165898617,0.0016292782976651237,12,0,100,0,100
747,1.2216180516093584,0.6720107246876754,15,60,20,33.3333333333333,60
291,2.761648745519713,3.137272218391268,13,61.5384615384615,38.4615384615385,23.0769230769231,76.9230769230769
144,0.7454403069455247,0.49479051425664083,23,30.4347826086957,30.4347826086957,13.0434782608696,78.2608695652174
793,1.6225215002388915,1.277852883852896,12,100,0,0,100
314,1.9285714285714286,1.5152288168283163,12,0,75,0,100
300,0.8248484848484849,0.3759921066713439,13,0,30.7692307692308,15.3846153846154,84.6153846153846
1073,0.32398062486371987,0.10342944806160433,13,69.2307692307692,23.0769230769231,23.0769230769231,76.9230769230769
348,0.5689655172413793,0.0731489773641256,15,13.3333333333333,73.3333333333333,13.3333333333333,86.6666666666667
475,0.8909414340448824,0.8318813672417156,13,23.0769230769231,30.7692307692308,7.69230769230769,84.6153846153846
1013,0.5142592364350199,0.23537160267243368,12,100,0,16.6666666666667,83.3333333333333
661,0.36428571428571427,0.09091372900969896,15,6.66666666666667,86.6666666666667,6.66666666666667,93.3333333333333
1330,0.6687543133195307,0.19261484587872976,12,83.3333333333333,8.33333333333333,0,91.6666666666667
452,0.6289415847310584,0.44446342163503105,14,0,85.7142857142857,0,100
336,0.5138636363636364,0.18238906587255235,12,41.6666666666667,50,8.33333333333333,91.6666666666667
78,1.5451559934318557,1.0183811077483964,15,6.66666666666667,60,0,93.3333333333333
808,0.2686536246894476,0.15193951621560267,14,100,0,7.14285714285714,92.8571428571429
698,1.246031746031746,0.2805979290422807,15,20,46.6666666666667,6.66666666666667,93.3333333333333
899,1.561904761904762,1.219606769357955,13,30.7692307692308,15.3846153846154,15.3846153846154,46.1538461538462
174,0.5951963849990166,0.2606460174365421,11,100,0,9.09090909090909,90.9090909090909
450,0.7344598786976283,0.5450474415735639,11,0,72.7272727272727,27.2727272727273,45.4545454545455
295,0.6148148148148148,0.020951312035156995,11,9.09090909090909,54.5454545454545,0,100
878,0.7959314100804644,0.47472053325370955,13,53.8461538461538,38.4615384615385,7.69230769230769,84.6153846153846
1043,0.8229885057471265,0.5030859978223553,12,0,83.3333333333333,8.33333333333333,91.6666666666667
861,1.23,0.3818376618407357,12,8.33333333333333,75,0,91.6666666666667
699,1.4093314093314093,0.8944115671967257,11,0,72.7272727272727,18.1818181818182,81.8181818181818
893,0.4212780337941628,0.171032151530101,15,60,26.6666666666667,13.3333333333333,86.6666666666667
8,0.7750559785042543,0.5057325630039489,13,84.6153846153846,0,7.69230769230769,76.9230769230769
1096,0.7438927199343865,0.48526209700037976,13,100,0,7.69230769230769,92.3076923076923
743,0.5865384615384616,0.18319768156978505,14,0,50,0,78.5714285714286
946,1.4512820512820515,0.6529556530214156,12,0,66.6666666666667,25,66.6666666666667
715,0.7533464095020159,0.5684056933863862,14,64.2857142857143,28.5714285714286,0,100
365,0.7471750201749221,0.556004293594816,14,0,42.8571428571429,7.14285714285714,85.7142857142857
834,0.9708994708994709,0.8492763985679698,11,18.1818181818182,27.2727272727273,0,81.8181818181818
201,0.6541666666666667,0.5480077554195745,11,0,63.6363636363636,0,81.8181818181818
502,0.6976190476190475,0.23841644999478945,12,0,58.3333333333333,25,66.6666666666667
860,1.230523616595723,0.958279267945136,14,0,42.8571428571429,21.4285714285714,78.5714285714286
121,0.43637992831541217,0.06716247204818467,14,35.7142857142857,14.2857142857143,7.14285714285714,85.7142857142857
586,0.7066666666666667,0.3973368133081511,15,0,86.6666666666667,0,100
352,1.5654345654345654,1.2399880329205222,14,0,100,21.4285714285714,78.5714285714286
351,1.7,1.7071744036402503,13,0,30.7692307692308,7.69230769230769,92.3076923076923
628,0.5444444444444444,0.041943524640393075,12,0,50,0,91.6666666666667
328,0.6942091036260062,0.5043446258234792,12,33.3333333333333,50,25,66.6666666666667
159,1.2428336746885134,0.5463320949828252,13,38.4615384615385,53.8461538461538,0,100
110,1.5705128205128205,1.8875892287907723,17,0,82.3529411764706,0,100
790,0.1875,0.08838834764831845,12,0,75,8.33333333333333,91.6666666666667
509,0.41949827778001153,0.20751047859797378,12,0,91.6666666666667,0,100
164,0.5527690700104493,0.19340278608145503,12,0,25,8.33333333333333,83.3333333333333
170,0.477533960292581,0.13890916913591533,19,10.5263157894737,73.6842105263158,0,89.4736842105263
752,0.7206937019228454,0.272454598742027,12,0,25,33.3333333333333,25
271,0.43781267704506543,0.3717878656553981,14,64.2857142857143,21.4285714285714,7.14285714285714,85.7142857142857
514,0.9635594290766705,0.3890332778765961,11,100,0,36.3636363636364,63.6363636363636
521,0.2722855813349315,0.21847732475814835,11,54.5454545454545,45.4545454545455,9.09090909090909,90.9090909090909
168,0.41182795698924735,0.1718345511270535,16,0,68.75,6.25,87.5
736,0.4843924191750279,0.2161421102219618,12,0,91.6666666666667,0,100
457,0.9305555555555557,0.1577474540500076,20,0,80,15,85
805,0.6768256688886041,0.47953920320145155,17,0,52.9411764705882,0,94.1176470588235
327,1.2865079365079364,1.3142346723467953,15,0,46.6666666666667,20,80
46,1.2616398467432952,0.49396838050637615,14,0,85.7142857142857,7.14285714285714,85.7142857142857
1066,0.9772539288668322,0.9551032019850472,13,7.69230769230769,84.6153846153846,0,100
638,1.0737179487179487,0.2221040530650053,11,18.1818181818182,81.8181818181818,0,100
386,1.1666666666666665,0.23570226039551595,14,35.7142857142857,42.8571428571429,14.2857142857143,85.7142857142857
1105,0.8080357142857143,0.5240166324864594,17,0,88.2352941176471,17.6470588235294,82.3529411764706
255,0.8912087912087913,0.8840422384325747,14,7.14285714285714,64.2857142857143,0,100
338,0.6003344481605352,0.32700325766613864,14,42.8571428571429,21.4285714285714,14.2857142857143,64.2857142857143
498,0.3824451410658307,0.10196524117423568,13,15.3846153846154,76.9230769230769,30.7692307692308,69.2307692307692
968,1.4219655663621182,0.9005346490460119,12,91.6666666666667,0,16.6666666666667,83.3333333333333
297,0.6963401815575728,0.6036900469120959,15,0,66.6666666666667,0,100
209,1.581195652173913,1.0410139418939934,11,36.3636363636364,45.4545454545455,18.1818181818182,81.8181818181818
433,1.4634831834831834,1.3156775194595107,15,26.6666666666667,60,6.66666666666667,93.3333333333333
449,0.5542920331018217,0.2636453626915139,11,18.1818181818182,63.6363636363636,9.09090909090909,90.9090909090909
